id,chris_distance,held_distance,nn_dist,chris_path,held_path,nn_path,chris_diff,nn_diff
1,526.0754272802039,344.2865907500594,1452.5602537711004,"[(81, 76), (67, 3), (93, 15), (14, 71), (52, 82), (9, 38), (7, 15), (19, 10), (45, 30), (35, 52), (34, 41), (83, 55), (97, 67), (65, 81), (81, 76)]","[(83, 55), (93, 15), (67, 3), (45, 30), (19, 10), (7, 15), (9, 38), (34, 41), (35, 52), (14, 71), (52, 82), (65, 81), (81, 76), (97, 67), (83, 55)]","[(81, 76), (65, 81), (81, 76), (97, 67), (81, 76), (83, 55), (81, 76), (52, 82), (81, 76), (35, 52), (81, 76), (45, 30), (81, 76), (34, 41), (81, 76), (93, 15), (81, 76), (14, 71), (81, 76), (67, 3), (81, 76), (9, 38), (81, 76), (19, 10), (81, 76), (7, 15), (81, 76)]",181.78883653014452,1108.273663021041 
2,593.6295417994651,400.3448632243644,1652.2414500046532,"[(65, 40), (56, 21), (50, 17), (69, 1), (69, 97), (8, 87), (86, 54), (94, 26), (91, 43), (91, 91), (11, 6), (46, 48), (58, 56), (61, 53), (65, 40)]","[(46, 48), (58, 56), (61, 53), (65, 40), (56, 21), (50, 17), (11, 6), (69, 1), (94, 26), (91, 43), (86, 54), (91, 91), (69, 97), (8, 87), (46, 48)]","[(69, 97), (91, 91), (69, 97), (58, 56), (69, 97), (61, 53), (69, 97), (86, 54), (69, 97), (46, 48), (69, 97), (65, 40), (69, 97), (91, 43), (69, 97), (8, 87), (69, 97), (94, 26), (69, 97), (56, 21), (69, 97), (50, 17), (69, 97), (69, 1), (69, 97), (11, 6), (69, 97)]",193.28467857510066,1251.8965867802888 
3,416.02929985043977,303.29056369281875,973.2046839490899,"[(52, 65), (57, 10), (84, 28), (100, 47), (86, 71), (100, 66), (7, 93), (3, 45), (12, 48), (22, 48), (29, 39), (44, 75), (62, 63), (45, 66), (52, 65)]","[(44, 75), (7, 93), (3, 45), (12, 48), (22, 48), (29, 39), (57, 10), (84, 28), (100, 47), (100, 66), (86, 71), (62, 63), (52, 65), (45, 66), (44, 75)]","[(52, 65), (45, 66), (52, 65), (62, 63), (52, 65), (44, 75), (52, 65), (22, 48), (52, 65), (86, 71), (52, 65), (29, 39), (52, 65), (12, 48), (52, 65), (100, 66), (52, 65), (84, 28), (52, 65), (100, 47), (52, 65), (3, 45), (52, 65), (7, 93), (52, 65), (57, 10), (52, 65)]",112.73873615762102,669.9141202562712 
4,499.0845215835704,292.18082748395983,924.6053209267066,"[(73, 31), (1, 27), (14, 75), (34, 42), (44, 33), (64, 48), (1, 37), (39, 2), (75, 7), (95, 38), (83, 37), (87, 13), (62, 48), (81, 35), (73, 31)]","[(62, 48), (44, 33), (34, 42), (14, 75), (1, 37), (1, 27), (39, 2), (75, 7), (87, 13), (95, 38), (83, 37), (81, 35), (73, 31), (64, 48), (62, 48)]","[(73, 31), (81, 35), (73, 31), (83, 37), (73, 31), (64, 48), (73, 31), (62, 48), (73, 31), (87, 13), (73, 31), (95, 38), (73, 31), (75, 7), (73, 31), (44, 33), (73, 31), (34, 42), (73, 31), (39, 2), (73, 31), (1, 27), (73, 31), (1, 37), (73, 31), (14, 75), (73, 31)]",206.90369409961056,632.4244934427468 
5,580.722510879357,305.41478445490634,1707.1347106241844,"[(67, 89), (18, 78), (50, 3), (53, 14), (12, 19), (34, 34), (74, 93), (63, 14), (13, 81), (84, 67), (72, 65), (83, 78), (78, 81), (75, 97), (67, 89)]","[(50, 3), (12, 19), (34, 34), (18, 78), (13, 81), (67, 89), (75, 97), (74, 93), (78, 81), (83, 78), (84, 67), (72, 65), (63, 14), (53, 14), (50, 3)]","[(50, 3), (53, 14), (50, 3), (63, 14), (50, 3), (34, 34), (50, 3), (12, 19), (50, 3), (72, 65), (50, 3), (84, 67), (50, 3), (18, 78), (50, 3), (83, 78), (50, 3), (78, 81), (50, 3), (13, 81), (50, 3), (67, 89), (50, 3), (74, 93), (50, 3), (75, 97), (50, 3)]",275.3077264244506,1401.719926169278 
6,402.40152661651774,323.3762133190181,1645.270680779902,"[(42, 60), (61, 61), (67, 60), (86, 50), (75, 36), (85, 60), (89, 63), (99, 27), (51, 97), (32, 86), (15, 87), (27, 21), (6, 27), (10, 50), (42, 60)]","[(27, 21), (6, 27), (10, 50), (15, 87), (32, 86), (51, 97), (42, 60), (61, 61), (67, 60), (85, 60), (89, 63), (86, 50), (99, 27), (75, 36), (27, 21)]","[(99, 27), (75, 36), (99, 27), (86, 50), (99, 27), (85, 60), (99, 27), (89, 63), (99, 27), (67, 60), (99, 27), (61, 61), (99, 27), (42, 60), (99, 27), (27, 21), (99, 27), (51, 97), (99, 27), (32, 86), (99, 27), (10, 50), (99, 27), (6, 27), (99, 27), (15, 87), (99, 27)]",79.02531329749962,1321.8944674608838 
7,601.148819984514,353.05342630486075,1266.6312458042134,"[(35, 58), (84, 8), (55, 23), (43, 17), (100, 72), (91, 100), (82, 99), (83, 93), (79, 43), (62, 61), (12, 2), (65, 76), (7, 41), (36, 37), (35, 58)]","[(65, 76), (83, 93), (82, 99), (91, 100), (100, 72), (79, 43), (84, 8), (55, 23), (43, 17), (12, 2), (7, 41), (36, 37), (35, 58), (62, 61), (65, 76)]","[(35, 58), (36, 37), (35, 58), (62, 61), (35, 58), (7, 41), (35, 58), (65, 76), (35, 58), (55, 23), (35, 58), (43, 17), (35, 58), (79, 43), (35, 58), (83, 93), (35, 58), (12, 2), (35, 58), (82, 99), (35, 58), (100, 72), (35, 58), (91, 100), (35, 58), (84, 8), (35, 58)]",248.09539367965328,913.5778194993527 
8,538.1041029805384,340.45540018197437,1002.2584189286712,"[(10, 64), (59, 94), (9, 11), (53, 14), (80, 48), (55, 54), (42, 65), (33, 74), (26, 69), (22, 64), (14, 5), (3, 97), (9, 44), (11, 56), (10, 64)]","[(10, 64), (11, 56), (9, 44), (9, 11), (14, 5), (53, 14), (80, 48), (55, 54), (42, 65), (59, 94), (33, 74), (26, 69), (22, 64), (3, 97), (10, 64)]","[(10, 64), (11, 56), (10, 64), (22, 64), (10, 64), (26, 69), (10, 64), (9, 44), (10, 64), (33, 74), (10, 64), (42, 65), (10, 64), (3, 97), (10, 64), (55, 54), (10, 64), (9, 11), (10, 64), (59, 94), (10, 64), (14, 5), (10, 64), (53, 14), (10, 64), (80, 48), (10, 64)]",197.64870279856405,661.8030187466968 
9,509.17388534217923,347.5098424050522,1756.669710486195,"[(20, 62), (1, 58), (94, 35), (99, 96), (89, 96), (84, 77), (61, 54), (50, 62), (96, 64), (13, 12), (5, 39), (19, 41), (5, 68), (19, 47), (20, 62)]","[(5, 39), (19, 41), (19, 47), (1, 58), (5, 68), (20, 62), (50, 62), (61, 54), (84, 77), (89, 96), (99, 96), (96, 64), (94, 35), (13, 12), (5, 39)]","[(94, 35), (96, 64), (94, 35), (61, 54), (94, 35), (84, 77), (94, 35), (50, 62), (94, 35), (99, 96), (94, 35), (89, 96), (94, 35), (19, 41), (94, 35), (19, 47), (94, 35), (20, 62), (94, 35), (13, 12), (94, 35), (5, 39), (94, 35), (5, 68), (94, 35), (1, 58), (94, 35)]",161.66404293712702,1409.1598680811428 
10,615.7332676236317,372.26603276174455,1143.1897266822145,"[(54, 58), (50, 44), (39, 7), (25, 1), (26, 15), (84, 27), (99, 42), (22, 62), (6, 72), (17, 81), (97, 93), (1, 84), (83, 69), (43, 34), (54, 58)]","[(1, 84), (6, 72), (22, 62), (50, 44), (43, 34), (26, 15), (25, 1), (39, 7), (84, 27), (99, 42), (97, 93), (83, 69), (54, 58), (17, 81), (1, 84)]","[(54, 58), (50, 44), (54, 58), (43, 34), (54, 58), (83, 69), (54, 58), (22, 62), (54, 58), (84, 27), (54, 58), (17, 81), (54, 58), (99, 42), (54, 58), (6, 72), (54, 58), (26, 15), (54, 58), (39, 7), (54, 58), (97, 93), (54, 58), (1, 84), (54, 58), (25, 1), (54, 58)]",243.46723486188716,770.92369392047 
